Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
15-6_R1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	4757944.0	pass	fail	pass	42.0	79.3987517557	15-6_R1.fastq.gz	fail	pass
15-6_R2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	4757944.0	pass	fail	pass	43.0	79.4589979133	15-6_R2.fastq.gz	fail	pass
C2T1S2_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	4404647.0	pass	fail	pass	45.0	87.4494998365	C2T1S2_r1.fastq.gz	fail	pass
C2T1S2_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	pass	4404647.0	pass	fail	pass	45.0	87.6611461635	C2T1S2_r2.fastq.gz	fail	pass
C2T2S2_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	2786443.0	pass	fail	pass	45.0	89.5048705396	C2T2S2_r1.fastq.gz	fail	pass
C2T2S2_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	pass	2786443.0	pass	fail	pass	45.0	89.6620286653	C2T2S2_r2.fastq.gz	fail	pass
C2T3S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	4380357.0	pass	fail	pass	45.0	87.2259929846	C2T3S1_r1.fastq.gz	fail	pass
C2T3S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	pass	4380357.0	pass	fail	pass	45.0	87.3632164408	C2T3S1_r2.fastq.gz	fail	pass
C36T1S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	3667021.0	pass	fail	pass	42.0	78.5437866558	C36T1S1_r1.fastq.gz	fail	pass
C36T1S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	3667021.0	pass	fail	pass	42.0	78.7461114462	C36T1S1_r2.fastq.gz	fail	pass
C36T2S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	6186073.0	pass	fail	pass	43.0	81.5123331144	C36T2S1_r1.fastq.gz	fail	pass
C36T2S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	warn	pass	101.0	Conventional base calls	pass	pass	6186073.0	pass	fail	pass	43.0	81.7926884438	C36T2S1_r2.fastq.gz	fail	pass
C36T3S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	4670898.0	pass	fail	pass	41.0	80.7687097874	C36T3S1_r1.fastq.gz	fail	pass
C36T3S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	4670898.0	pass	fail	pass	42.0	81.2186760964	C36T3S1_r2.fastq.gz	fail	pass
H2T1S2_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	warn	3201370.0	pass	fail	pass	47.0	90.4785683242	H2T1S2_r1.fastq.gz	fail	pass
H2T1S2_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	warn	3201370.0	pass	fail	pass	47.0	90.5508612589	H2T1S2_r2.fastq.gz	fail	pass
H2T2S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	3480910.0	pass	fail	pass	46.0	89.5832130353	H2T2S1_r1.fastq.gz	fail	pass
H2T2S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	pass	3480910.0	pass	fail	pass	46.0	89.6232344966	H2T2S1_r2.fastq.gz	fail	pass
H2T3S2_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	warn	fail	pass	101.0	Conventional base calls	pass	warn	3118683.0	pass	fail	pass	47.0	91.0438621121	H2T3S2_r1.fastq.gz	fail	pass
H2T3S2_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	warn	fail	pass	101.0	Conventional base calls	pass	warn	3118683.0	pass	fail	pass	47.0	90.9609922765	H2T3S2_r2.fastq.gz	fail	pass
H36T1S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	3488972.0	pass	fail	pass	42.0	84.4063040664	H36T1S1_r1.fastq.gz	fail	pass
H36T1S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	warn	pass	101.0	Conventional base calls	pass	pass	3488972.0	pass	fail	pass	42.0	84.6221726917	H36T1S1_r2.fastq.gz	fail	pass
H36T2S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	3501343.0	pass	fail	pass	43.0	85.9830319141	H36T2S1_r1.fastq.gz	fail	pass
H36T2S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	pass	3501343.0	pass	fail	pass	43.0	86.3026101025	H36T2S1_r2.fastq.gz	fail	pass
H36T3S1_r1	pass	0.0	pass	101.0	Sanger / Illumina 1.9	warn	pass	pass	101.0	Conventional base calls	pass	pass	3775325.0	pass	fail	pass	45.0	87.1136266064	H36T3S1_r1.fastq.gz	fail	pass
H36T3S1_r2	pass	0.0	pass	101.0	Sanger / Illumina 1.9	fail	fail	pass	101.0	Conventional base calls	pass	pass	3775325.0	pass	fail	pass	45.0	87.1333865382	H36T3S1_r2.fastq.gz	fail	pass
