"Plot Title: 1156692 "
"#","Time, GMT+08:00","Temp, ¡C()","Coupler Attached()","Host Connected()","Coupler Detached()","Stopped()","End Of File()"
125,06/26/10 07:00:00 PM,29.252,,,,,
126,06/26/10 08:00:00 PM,29.152,,,,,
127,06/26/10 09:00:00 PM,29.152,,,,,
128,06/26/10 10:00:00 PM,29.053,,,,,
129,06/26/10 11:00:00 PM,29.053,,,,,
130,06/27/10 12:00:00 AM,29.053,,,,,
131,06/27/10 01:00:00 AM,29.053,,,,,
132,06/27/10 02:00:00 AM,29.053,,,,,
133,06/27/10 03:00:00 AM,29.053,,,,,
134,06/27/10 04:00:00 AM,29.053,,,,,
135,06/27/10 05:00:00 AM,29.053,,,,,
136,06/27/10 06:00:00 AM,29.053,,,,,
137,06/27/10 07:00:00 AM,29.053,,,,,
138,06/27/10 08:00:00 AM,29.252,,,,,
139,06/27/10 09:00:00 AM,29.252,,,,,
140,06/27/10 10:00:00 AM,29.152,,,,,
141,06/27/10 11:00:00 AM,29.252,,,,,
142,06/27/10 12:00:00 PM,29.252,,,,,
143,06/27/10 01:00:00 PM,29.252,,,,,
144,06/27/10 02:00:00 PM,29.152,,,,,
145,06/27/10 03:00:00 PM,29.252,,,,,
146,06/27/10 04:00:00 PM,29.152,,,,,
147,06/27/10 05:00:00 PM,29.252,,,,,
148,06/27/10 05:58:06 PM,,Logged,Logged,,,
149,06/27/10 05:58:53 PM,,,,Logged,,
150,06/27/10 06:00:00 PM,25.222,,,,,
151,06/27/10 07:00:00 PM,29.152,,,,,
152,06/27/10 08:00:00 PM,29.152,,,,,
153,06/27/10 09:00:00 PM,29.053,,,,,
154,06/27/10 10:00:00 PM,29.053,,,,,
155,06/27/10 11:00:00 PM,29.053,,,,,
156,06/28/10 12:00:00 AM,29.053,,,,,
157,06/28/10 01:00:00 AM,29.053,,,,,
158,06/28/10 02:00:00 AM,29.053,,,,,
159,06/28/10 03:00:00 AM,28.953,,,,,
160,06/28/10 04:00:00 AM,29.053,,,,,
161,06/28/10 05:00:00 AM,29.053,,,,,
162,06/28/10 06:00:00 AM,29.053,,,,,
163,06/28/10 07:00:00 AM,29.053,,,,,
164,06/28/10 08:00:00 AM,29.152,,,,,
165,06/28/10 09:00:00 AM,29.252,,,,,
166,06/28/10 10:00:00 AM,29.252,,,,,
167,06/28/10 11:00:00 AM,29.252,,,,,
168,06/28/10 12:00:00 PM,29.252,,,,,
169,06/28/10 01:00:00 PM,29.152,,,,,
170,06/28/10 02:00:00 PM,29.252,,,,,
171,06/28/10 03:00:00 PM,29.252,,,,,
172,06/28/10 04:00:00 PM,29.152,,,,,
173,06/28/10 05:00:00 PM,29.152,,,,,
174,06/28/10 06:00:00 PM,29.252,,,,,
175,06/28/10 07:00:00 PM,29.152,,,,,
176,06/28/10 08:00:00 PM,29.152,,,,,
177,06/28/10 09:00:00 PM,29.053,,,,,
178,06/28/10 10:00:00 PM,29.053,,,,,
179,06/28/10 11:00:00 PM,28.953,,,,,
180,06/29/10 12:00:00 AM,28.953,,,,,
181,06/29/10 01:00:00 AM,29.053,,,,,
182,06/29/10 02:00:00 AM,29.053,,,,,
183,06/29/10 03:00:00 AM,29.053,,,,,
184,06/29/10 04:00:00 AM,29.053,,,,,
185,06/29/10 05:00:00 AM,29.053,,,,,
186,06/29/10 06:00:00 AM,28.953,,,,,
187,06/29/10 07:00:00 AM,29.053,,,,,
188,06/29/10 08:00:00 AM,29.252,,,,,
189,06/29/10 09:00:00 AM,29.252,,,,,
190,06/29/10 10:00:00 AM,29.252,,,,,
191,06/29/10 11:00:00 AM,29.252,,,,,
192,06/29/10 12:00:00 PM,29.252,,,,,
193,06/29/10 01:00:00 PM,29.252,,,,,
194,06/29/10 02:00:00 PM,29.252,,,,,
195,06/29/10 03:00:00 PM,29.252,,,,,
196,06/29/10 04:00:00 PM,29.252,,,,,
197,06/29/10 05:00:00 PM,29.252,,,,,
198,06/29/10 06:00:00 PM,29.252,,,,,
199,06/29/10 07:00:00 PM,29.252,,,,,
200,06/29/10 08:00:00 PM,29.152,,,,,
201,06/29/10 09:00:00 PM,29.053,,,,,
202,06/29/10 10:00:00 PM,29.053,,,,,
203,06/29/10 11:00:00 PM,29.053,,,,,
204,06/30/10 12:00:00 AM,29.053,,,,,
205,06/30/10 01:00:00 AM,29.053,,,,,
206,06/30/10 02:00:00 AM,29.053,,,,,
207,06/30/10 03:00:00 AM,29.053,,,,,
208,06/30/10 04:00:00 AM,29.053,,,,,
209,06/30/10 05:00:00 AM,28.953,,,,,
210,06/30/10 06:00:00 AM,28.953,,,,,
211,06/30/10 07:00:00 AM,28.953,,,,,
212,06/30/10 08:00:00 AM,29.252,,,,,
213,06/30/10 09:00:00 AM,29.252,,,,,
214,06/30/10 10:00:00 AM,29.252,,,,,
215,06/30/10 11:00:00 AM,29.252,,,,,
216,06/30/10 12:00:00 PM,29.252,,,,,
217,06/30/10 01:00:00 PM,29.252,,,,,
218,06/30/10 02:00:00 PM,29.252,,,,,
219,06/30/10 03:00:00 PM,29.252,,,,,
220,06/30/10 04:00:00 PM,29.252,,,,,
221,06/30/10 05:00:00 PM,29.252,,,,,
222,06/30/10 06:00:00 PM,29.252,,,,,
223,06/30/10 07:00:00 PM,29.252,,,,,
224,06/30/10 08:00:00 PM,29.152,,,,,
225,06/30/10 09:00:00 PM,29.152,,,,,
226,06/30/10 10:00:00 PM,29.152,,,,,
227,06/30/10 11:00:00 PM,29.053,,,,,
228,07/01/10 12:00:00 AM,28.953,,,,,
229,07/01/10 01:00:00 AM,28.953,,,,,
230,07/01/10 02:00:00 AM,29.053,,,,,
231,07/01/10 03:00:00 AM,28.953,,,,,
232,07/01/10 04:00:00 AM,29.053,,,,,
233,07/01/10 05:00:00 AM,29.053,,,,,
234,07/01/10 06:00:00 AM,29.053,,,,,
235,07/01/10 07:00:00 AM,29.053,,,,,
236,07/01/10 08:00:00 AM,29.252,,,,,
237,07/01/10 09:00:00 AM,29.252,,,,,
238,07/01/10 10:00:00 AM,29.252,,,,,
239,07/01/10 11:00:00 AM,29.252,,,,,
240,07/01/10 12:00:00 PM,29.252,,,,,
241,07/01/10 01:00:00 PM,29.252,,,,,
242,07/01/10 02:00:00 PM,29.252,,,,,
243,07/01/10 03:00:00 PM,29.252,,,,,
244,07/01/10 04:00:00 PM,29.252,,,,,
245,07/01/10 05:00:00 PM,29.252,,,,,
246,07/01/10 06:00:00 PM,29.252,,,,,
247,07/01/10 07:00:00 PM,29.252,,,,,
248,07/01/10 08:00:00 PM,29.152,,,,,
249,07/01/10 09:00:00 PM,29.152,,,,,
250,07/01/10 10:00:00 PM,29.152,,,,,
251,07/01/10 11:00:00 PM,29.053,,,,,
252,07/02/10 12:00:00 AM,29.053,,,,,
253,07/02/10 01:00:00 AM,29.053,,,,,
254,07/02/10 02:00:00 AM,29.053,,,,,
255,07/02/10 03:00:00 AM,29.053,,,,,
256,07/02/10 04:00:00 AM,29.053,,,,,
257,07/02/10 05:00:00 AM,29.053,,,,,
258,07/02/10 06:00:00 AM,29.053,,,,,
259,07/02/10 07:00:00 AM,29.053,,,,,
260,07/02/10 08:00:00 AM,29.252,,,,,
261,07/02/10 09:00:00 AM,29.252,,,,,
262,07/02/10 10:00:00 AM,29.352,,,,,
263,07/02/10 11:00:00 AM,29.252,,,,,
264,07/02/10 12:00:00 PM,29.552,,,,,
265,07/02/10 01:00:00 PM,29.452,,,,,
266,07/02/10 02:00:00 PM,29.252,,,,,
267,07/02/10 03:00:00 PM,29.252,,,,,
268,07/02/10 04:00:00 PM,29.252,,,,,
269,07/02/10 05:00:00 PM,29.352,,,,,
270,07/02/10 06:00:00 PM,29.252,,,,,
271,07/02/10 07:00:00 PM,29.252,,,,,
272,07/02/10 08:00:00 PM,29.152,,,,,
273,07/02/10 09:00:00 PM,29.152,,,,,
274,07/02/10 10:00:00 PM,29.152,,,,,
275,07/02/10 11:00:00 PM,29.152,,,,,
276,07/03/10 12:00:00 AM,29.053,,,,,
277,07/03/10 01:00:00 AM,29.053,,,,,
278,07/03/10 02:00:00 AM,29.152,,,,,
279,07/03/10 03:00:00 AM,29.053,,,,,
280,07/03/10 04:00:00 AM,29.053,,,,,
281,07/03/10 05:00:00 AM,29.053,,,,,
282,07/03/10 06:00:00 AM,29.053,,,,,
283,07/03/10 07:00:00 AM,29.053,,,,,
284,07/03/10 08:00:00 AM,29.252,,,,,
285,07/03/10 09:00:00 AM,29.152,,,,,
286,07/03/10 10:00:00 AM,29.252,,,,,
287,07/03/10 11:00:00 AM,29.252,,,,,
288,07/03/10 12:00:00 PM,29.252,,,,,
289,07/03/10 01:00:00 PM,29.252,,,,,
290,07/03/10 02:00:00 PM,29.152,,,,,
291,07/03/10 03:00:00 PM,29.252,,,,,
292,07/03/10 04:00:00 PM,29.152,,,,,
293,07/03/10 05:00:00 PM,29.152,,,,,
294,07/03/10 06:00:00 PM,29.252,,,,,
295,07/03/10 07:00:00 PM,29.252,,,,,
296,07/03/10 08:00:00 PM,29.152,,,,,
297,07/03/10 09:00:00 PM,29.152,,,,,
298,07/03/10 10:00:00 PM,23.004,,,,,
299,07/03/10 10:10:56 PM,,Logged,Logged,,,
300,07/03/10 10:11:03 PM,,,,,Logged,Logged
